,address,amount,decimals,owner,lamports,ownerProgram,type,rentEpoch,executable
57,CzuipkNnvG4JaTQPjgAseWLNhLZFYxMcYpd2G8hDLHco,2379052804380,6,6c33US7ErPmLXZog9SyChQUYUrrJY51k4GmzdhrbhNnD,407440199935,11111111111111111111111111111111,system_account,361,False
58,SFT15R1SULgC1j6ukt91S7kNMR9tDWhKm4vWPay6TRW,2367500000000,6,3cQzea17cp1E3s9NYpJhZt7XsSstscosF5eDW2w6pSqy,996036440,11111111111111111111111111111111,system_account,361,False
59,DLyvkAoixFXZoapfxXBNyhQL7h9NZxu8UhSDhNYbfwTC,2354819727897,6,FZa6wwfarkexeGkBTe647Rp3xTjcea8AJk6XUM5osqit,80000000,11111111111111111111111111111111,system_account,361,False
60,Ebe9AM7Bzwy4Ew8H1dsBU15jsxJGahe6xGffxbeFDqfD,2348251128418,6,3uTzTX5GBSfbW7eM9R9k95H7Txe32Qw3Z25MtyD2dzwC,4591952240,HvwYjjzPbXWpykgVZhqvvfeeaSraQVnTiQibofaFw9M7,unclassified,361,False
61,9XhJANMN4r23xY5PZ7rjpR1CXfiKBm7hZPNqruCDNU3h,2336610875448,6,Htp9MGP8Tig923ZFY7Qf2zzbMUmYneFRAhSp7vSg4wxV,25408944791798,11111111111111111111111111111111,system_account,361,False
62,66SER4GbEDDXFb9bbGnxJo746cZCZsTPTgPR3EkGjpSX,2255000000003,6,8CuP4oMQsaoqMtCpzWGtXjQD4KrTJXn6vrfQf3vQQ1vm,595886440,11111111111111111111111111111111,system_account,0,False
63,Bq5hJDQqJEifinHeiKhZnh4b7j8PbmTKDfJqUman1V5X,2200201490000,6,3xnZ6LBZv7aYortFFqb6roNhBBEaaKkvKKL1pCVLP5EZ,12708400,11111111111111111111111111111111,system_account,361,False
64,7EY4cYefoDkXVcoQGd2F6eEoetFkCgChvEHVwXS4VETf,2191791521607,6,5pjDD7PXyKixn31WoEoEbVR6RkFkj4peyLGGPEDnZ6pg,10055000,11111111111111111111111111111111,system_account,361,False
65,8BYdBGDqVkHnRCQpwBcVrSbUTYjn7spo8JqFtzXGRy1n,2117938209056,6,9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,68815703692061,11111111111111111111111111111111,system_account,0,False
66,4fxmqqDq1oYbTCX1VjK2J49VtGwkdBXhCmXxo7bjFGaK,2115000000000,6,FGFT5Gf99cNDroRTkWH9cNeyfoPTsyGQnB5auTnB9h7q,197990720,11111111111111111111111111111111,system_account,361,False
67,9umaRH82Q8exP5iaHxd2Y1DZgHGUtVnajfavHVbk8E4w,2101638980000,6,4vtXDvu7msdA8wUaZweXCPXSEiPG99xixmtAqvy1Nwo,1864097950720,11111111111111111111111111111111,system_account,0,False
68,C2QoQ111jGHEy5918XkNXQro7gGwC9PKLXd1LqBiYNwA,2086458898865,6,3ESUFCnRNgZ7Mn2mPPUMmXYaKU8jpnV9VtA17M7t2mHQ,72161280,24Uqj9JCLxUeoC3hGfh5W3s9FM9uCHDS2SG3LYwBpyTi,unclassified,361,False
69,Fs2nnXWACLP8iJzufAKdGyqKRKnvMBTQ9LuAamVmmHRJ,2048370170952,6,9oRtAojR9FKq6SkENyE1xCohAk2VsYtoS7TchjpmxkhU,32446934366427,11111111111111111111111111111111,system_account,361,False
70,GudcfPCybiYaRJ4NdRvaRQNA5ie5uiyL64uUhoh2eAik,2036576882266,6,8TyzKGjP8MDWv5XTyAwH65zRAKuz9Rtq27jqE2QSwxSe,1785026760,11111111111111111111111111111111,system_account,361,False
71,4z9rT7yrbDwXR9BLTKLbJ74pM52c5xka8NbNHMY2b2U,2000000000000,6,Ac4DHCu6DHYUajvCcxyFmktCEgW59wt1KVYxmqUY823D,197030720,11111111111111111111111111111111,system_account,361,False
72,DGXz1Z5oqK1gZx24p2DUQeMA62vLe9o19TkqjXJQGiB6,2000000000000,6,J7f6zM8ydXCgnvDgYUrWvCknU3qZYXtQ9S5nzZbVZESz,400000000,11111111111111111111111111111111,system_account,0,False
73,2MeVHPfbJfYuXvZzRsD6zZfYN23gET1f3yStQLPVx9Mq,1910342137278,6,ECrJ9os19BgUpmVkQh3jL7AdRH14DYfsqwMjxQckuAnH,59445104164930,11111111111111111111111111111111,system_account,0,False
74,DJtV9DT5qZX7fM2e9cFmUkK9KsvJ3SqGZWTV1gHD3n1M,1908605319258,6,H2ifRNdqhKSbKUQ9nanbYPzbipmRBhZzEXRZx1soCN2m,4000000,11111111111111111111111111111111,system_account,361,False
75,7aUTpYbA4cNGAAKSZNocd5yaFUJvfMMVdjuBzxmkKmco,1888995501619,6,51HpTxzERCvW7EPeWffDpdK5EkRD2yMyF4UKc81vMSYY,12820629640,11111111111111111111111111111111,system_account,361,False
76,B9gmSZzEBvJWizgVzxMsSuLtTU39XNGzyExEspPnTSWJ,1863618948477,6,45j5dXAE2Sx7AUa9yYsXd2uXxQmLakbRjSVXQqQ4hM4o,501002297881,11111111111111111111111111111111,system_account,361,False
77,ka3KohnXoSAE8txhQH9rZu5GQziRgtV9m9wxiBzAcoY,1848389484170,6,ZJxt8qts2oSAbWis7zB21Zoe5dT21CVeLSQRhwMALNm,2006676865,11111111111111111111111111111111,system_account,361,False
78,9C4o5US5dLeTNJBgxr1kLNNJCBVEyMSuPvWRfWwRPXnW,1841845632059,6,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,17333198392679,11111111111111111111111111111111,system_account,361,False
79,GP4WB2kqbr84kFnrBiYdL6yvnA48KdArXPJDcVUSG5o3,1825204209985,6,G65YTod2fyHcXe5VVp3zEb5DuM8reRGPqG7y1jkuwjFy,1000000,11111111111111111111111111111111,system_account,361,False
80,BCMhYfzTTzzPyfHmhHFVNrHGwabqD9h9ere9EkezwkaB,1804782414419,6,AB8dzFZn4friVP5fHyAW7nUv82gFEwodgpZaBcuRaBW3,2009165760,11111111111111111111111111111111,system_account,361,False
81,2xRk1iuACSENmZy5GGF5LUFmMhChWRrH9tP5dHcpa15e,1779225015242,6,CrFs1vtZ2gAtVsXLUEoesLPruLkpkhNRxSLKNTYfdzuC,4072641945575,11111111111111111111111111111111,system_account,361,False
82,7SDG34FsQB4BunHa6i4QkrYdf45EJXG168nocZLpnMMk,1778328668371,6,CkzYxzyVRyHjJ8ZGr6VJhmPZwyFf4BMzUZWwGpxBYknc,4784948146824,11111111111111111111111111111111,system_account,361,False
83,btetJ8RQZ448nKtc7mNWGvZQAUXTJpWuZDo5h9qLr3Z,1750010000000,6,HJEXUEyvgYuwm8rBoLPc7ZdVty8aPqo7MUw9cK4v6afi,99995000,11111111111111111111111111111111,system_account,361,False
84,9YZZU5Bfvb9RBgsc8r95fyUZiQvJFHaZtnfDBKuSvo1s,1687738060000,6,5qkkfSDCxtLj9CXwukQ2ma46GeohCLDanv1vcjaMR1hs,909830720,11111111111111111111111111111111,system_account,361,False
85,4UFbqrfycMMzggCBmrwjyQV7s86411pvSSS7Vmge7JJp,1676696114574,6,Cii4Vsoj9ngV9fEaeMavoJygoJCn4MfERpNrugYWkQek,4929035449600,11111111111111111111111111111111,system_account,361,False
86,B4VHnbHJcvnZGSZWx94H16kpoPhhsLNasue7Cq62rW38,1661972003905,6,FCgqNdJcyaXMEi8LZXBD3WWTP5RfwfFjxJsWEeiHW9EP,7800009995000,11111111111111111111111111111111,system_account,361,False
87,5k5CGT4PCL7m6ajw7Sxr1Xdwb7XmpLRtiRyQMoCiH2vA,1651987452129,6,AXXy1euNV4tJf6zu5JRyPczgugDoKvaWBtc7nGqNfpmX,70132776038,11111111111111111111111111111111,system_account,361,False
88,3FLVin3d1Q4dd14SYm5vXQbgqXyLM5XZpX3P2oKXHmJH,1650000000000,6,EFFFUmZvArsyLp9xQTGVKvbiNUM7NE3kyS92ASi4a34Q,1000000000,11111111111111111111111111111111,system_account,361,False
89,EYwDHgoKW7Atbit48qP297EVh1CzBFsBP8hdnpuQH5rr,1645230228741,6,Ag8PJ1taVaTSzb9e6JN9hKhiTWkQQdfKbVkNzeU4nXp2,380272400,11111111111111111111111111111111,system_account,361,False
90,59tTD4Mun4QCjkkFr4uFLm3cTLfXvBrLSGsgj2e2SmVu,1642203130763,6,BgYkB2hsGG3YSEVc7QsKLjK3ZFgZ69MDvje5zvTWDfnH,1530650312,11111111111111111111111111111111,system_account,361,False
91,EuiAEUvspwzFG1V4PKSKQsNUB36ktAZPgMcHgioKmhEf,1592331009712,6,Bxpi8Gf45SQKV6q81fL6GUC35ABYKwcGvFADE28BV2EL,1292765089839,11111111111111111111111111111111,system_account,361,False
